Time,Message
11.73525,-0.9
11.75127,-0.9
11.75827,-0.9
11.762,-0.9
11.76963,-0.9
11.77378,-0.9
11.7805,-0.9
11.7878,-0.9
11.79204,-0.9
11.79544,-0.9
11.79905,-0.9
11.80623,-0.9
11.83429,-0.9
11.83802,-0.9
11.84161,-0.9
11.84996,-0.9
11.85676,-0.9
11.87989,-0.9
11.88347,-0.9
11.88706,-0.9
11.89358,-0.9
11.90129,-0.9
11.90532,-0.9
11.91309,-0.9
11.92012,-0.9
11.94104,-0.9
11.94861,-0.9
11.95599,-0.9
11.96026,-0.9
11.96774,-0.9
11.99326,-0.9
12.00077,-0.9
12.00501,-0.9
12.00982,-0.9
12.01352,-0.9
12.01744,-0.9
12.02181,-0.9
12.03142,-0.9
12.03868,-0.9
12.0457,-0.9
12.05371,-0.9
12.08092,-0.9
12.08525,-0.9
12.09205,-0.9
12.09933,-0.9
12.10279,-0.9
12.10671,-0.9
12.11334,-0.9
12.12067,-0.9
12.12808,-0.9
12.13494,-0.9
12.1421,-0.9
12.14616,-0.9
12.15388,-0.9
12.16159,-0.9
12.16971,-0.9
12.17358,-0.9
12.17794,-0.9
12.18146,-0.9
12.18591,-0.9
12.18985,-0.9
12.21363,-0.9
12.23695,-0.9
12.24127,-0.9
12.24532,-0.9
12.24937,-0.9
12.2536,-0.9
12.25756,-0.9
12.26137,-0.9
12.26578,-0.9
12.27078,-0.9
12.27815,-0.9
12.28194,-0.9
12.2873,-0.9
12.29497,-0.9
12.2987,-0.9
12.3032,-0.9
12.31004,-0.9
12.31723,-0.9
12.32104,-0.9
12.32851,-0.9
12.33251,-0.9
12.3358,-0.9
12.3394,-0.9
12.34304,-0.9
12.35035,-0.9
12.3742,-0.9
12.38043,-0.9
12.38491,-0.9
12.39334,-0.9
12.39731,-0.9
12.40097,-0.9
12.40507,-0.9
12.40943,-0.9
12.4138,-0.9
12.41833,-0.9
12.42273,-0.9
12.43079,-0.9
12.43462,-0.9
12.43884,-0.9
12.44268,-0.9
12.44695,-0.9
12.45366,-0.9
12.47795,-0.9
12.50147,-0.9
12.50534,-0.9
12.50889,-0.9
12.5161,-0.9
12.52295,-0.9
12.53165,-0.9
12.53592,-0.9
12.54009,-0.9
12.54759,-0.9
12.55147,-0.9
12.55893,-0.9
12.56256,-0.9
